group,matrix_count,source_or_meaning,normalized_kind_counts,dimension_min,dimension_max,size_profile,shape_counts,structure_counts,entry_type_counts,known_positive_definite,assessment,categorical_diversity_score,source_url
ACUSIM,1,"Computational fluid dynamics matrices from ACUSIM, Inc.",computational fluid dynamics problem (1),14822,14822,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/ACUSIM
AG-Monien,32,"AG-Monien Graph Collection, Ralf Diekmann and Robert Preis",2D/3D problem (26); undirected graph (6),224,1048576,wide (>100×),square (32),symmetric (32),binary (32),0,some categorical mix; wide (>100×),0.03125,https://sparse.tamu.edu/AG-Monien
AMD,2,"Circuit simulation matrices from Ufuk Okuyucu, AMD, Inc.",circuit simulation problem (2),150102,1585478,moderate (4–100×),square (2),symmetric (2),real (2),2,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/AMD
ANSYS,3,Underdetermined systems needing well-conditioned bases to be found.,least squares problem (3),887058,1823928,narrow (≤4×),rectangular (3),rectangular (3),real (3),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/ANSYS
ATandT,4,"Frequency domain analysis of large nonlinear analog circuits, AT&T.",frequency-domain circuit simulation problem (4),36057,659033,moderate (4–100×),square (4),unsymmetric (4),real (4),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/ATandT
Alemdar,1,"A finite-element matrix from Bulent Alemdar, RAM International.",2D/3D problem (1),6245,6245,one dimension,square (1),symmetric (1),integer (1),0,singleton; one dimension,0.0,https://sparse.tamu.edu/Alemdar
Andrews,1,"Large eigenvalue problem from Stuart Andrews, Brown University, Rhode Island.",computer graphics/vision problem (1),60000,60000,one dimension,square (1),symmetric (1),integer (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/Andrews
Andrianov,16,"Matrices from Alexander Andrianov, SAS Institute Inc.",optimization problem (16),5026,534388,wide (>100×),square (16),symmetric (16),binary (16),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/Andrianov
Arenas,4,"Networks from Alex Arenas, Univeristy Rovira i Virgili, Tarragona, Spain",undirected multigraph (3); undirected graph (1),198,10680,moderate (4–100×),square (4),symmetric (4),integer (3); binary (1),0,small; observed mix; moderate (4–100×),0.083333,https://sparse.tamu.edu/Arenas
Averous,4,"Matrices from David Averous, Institut National Polytechnique de Toulouse (INPT).",thermal problem (4),1794,84617,moderate (4–100×),square (4),unsymmetric (4),real (4),0,small; uniform observed types; moderate (4–100×),0.0,https://sparse.tamu.edu/Averous
Bai,78,"Matrices from Z. Bai, D. Day, J. Demmel, and J. Dongarra.",computational fluid dynamics problem (31); electromagnetics problem (26); 2D/3D problem (8); statistical/mathematical problem (4); power network problem (3); chemical process simulation problem (2); materials problem (2); robotics problem (2),62,23560,wide (>100×),square (78),unsymmetric (66); symmetric (11); Hermitian (1),real (70); complex (6); integer (2),4,high categorical mix; wide (>100×),0.245726,https://sparse.tamu.edu/Bai
Barabasi,3,"Notre Dame networks, A. Barabasi.",bipartite graph (1); directed graph (1); undirected graph (1),2114,392400,wide (>100×),square (2); rectangular (1),rectangular (1); symmetric (1); unsymmetric (1),binary (3),0,small; observed mix; wide (>100×),0.388889,https://sparse.tamu.edu/Barabasi
Bates,3,"Statistical matrices, D. Bates, Univ. Wisconsin",statistical/mathematical problem (2); least squares problem (1),2541,1748122,wide (>100×),rectangular (2); square (1),rectangular (2); symmetric (1),real (2); binary (1),1,small; observed mix; wide (>100×),0.333333,https://sparse.tamu.edu/Bates
Belcastro,3,"Gene networks from V. Belcastro, TIGEM, Naples, Italy",undirected weighted graph (3),14340,45101,narrow (≤4×),square (3),symmetric (3),real (3),0,small; uniform observed types; narrow (≤4×),0.0,https://sparse.tamu.edu/Belcastro
BenElechi,1,"Matrix from S. Ben Elechi, Arcelor, Inc. with many sparse right-hand sides.",2D/3D problem (1),245874,245874,one dimension,square (1),symmetric (1),real (1),1,singleton; one dimension,0.0,https://sparse.tamu.edu/BenElechi
Bindel,6,"Coupled linear thermoeslasticity equations. D Bindel, UC Berkeley",thermal problem (6),10605,10605,one dimension,square (6),unsymmetric (4); symmetric (2),real (4); complex (2),2,high categorical mix; one dimension,0.222222,https://sparse.tamu.edu/Bindel
Bodendiek,5,"Curl-Curl operator of 2nd order Maxwell's equations, A. Bodendiek",model reduction problem (5),11083,2380515,wide (>100×),square (5),symmetric (5),real (5),0,categorically uniform; wide (>100×),0.0,https://sparse.tamu.edu/Bodendiek
Boeing,32,"Structural engineering matrices from Roger Grimes, Boeing.",structural problem (24); materials problem (8),588,217918,wide (>100×),square (32),symmetric (32),real (27); binary (5),15,high categorical mix; wide (>100×),0.161458,https://sparse.tamu.edu/Boeing
