group_size,number_of_groups,number_of_matrices,share_of_groups,share_of_matrices
1,51,51,0.25123153,0.01756198
2,32,64,0.15763547,0.02203857
3,18,54,0.08866995,0.01859504
4,13,52,0.06403941,0.01790634
5,8,40,0.03940887,0.0137741
6,7,42,0.03448276,0.01446281
7,7,49,0.03448276,0.01687328
8,5,40,0.02463054,0.0137741
9,2,18,0.00985222,0.00619835
10,3,30,0.01477833,0.01033058
11,5,55,0.02463054,0.01893939
12,5,60,0.02463054,0.02066116
13,2,26,0.00985222,0.00895317
14,3,42,0.01477833,0.01446281
15,3,45,0.01477833,0.01549587
16,3,48,0.01477833,0.01652893
17,1,17,0.00492611,0.00585399
18,3,54,0.01477833,0.01859504
19,1,19,0.00492611,0.0065427
21,2,42,0.00985222,0.01446281
22,2,44,0.00985222,0.01515152
23,1,23,0.00492611,0.00792011
26,2,52,0.00985222,0.01790634
27,1,27,0.00492611,0.00929752
30,1,30,0.00492611,0.01033058
32,4,128,0.01970443,0.04407713
35,2,70,0.00985222,0.02410468
36,1,36,0.00492611,0.01239669
38,1,38,0.00492611,0.0130854
49,1,49,0.00492611,0.01687328
52,1,52,0.00492611,0.01790634
60,1,60,0.00492611,0.02066116
67,1,67,0.00492611,0.02307163
68,1,68,0.00492611,0.02341598
76,1,76,0.00492611,0.0261708
78,1,78,0.00492611,0.0268595
91,1,91,0.00492611,0.03133609
128,1,128,0.00492611,0.04407713
138,1,138,0.00492611,0.04752066
151,1,151,0.00492611,0.05199725
166,1,166,0.00492611,0.05716253
192,1,192,0.00492611,0.0661157
292,1,292,0.00492611,0.10055096
