group,matrix_count,diversity_label,categorical_diversity_score,mixed_attribute_count_dominant_share_lt_0_90,distinct_kinds,dimension_log10_span,nnz_log10_span,nentries_log10_span,matrices_with_explicit_zeros,explicit_zero_count_total,nrows_min,nrows_median,nrows_max,ncols_min,ncols_median,ncols_max,nnz_min,nnz_median,nnz_max,nentries_min,nentries_median,nentries_max,pattern_symmetry_min,pattern_symmetry_median,pattern_symmetry_max,numerical_symmetry_min,numerical_symmetry_median,numerical_symmetry_max,shape_counts,dominant_shape,dominant_shape_share,structure_counts,dominant_structure,dominant_structure_share,entry_type_counts,dominant_entry_type,dominant_entry_type_share,exact_symmetry_counts,dominant_exact_symmetry,dominant_exact_symmetry_share,positive_definite_counts,dominant_positive_definite,dominant_positive_definite_share,kind_counts,dominant_kind,dominant_kind_share,structural_full_rank_counts,dominant_structural_full_rank,dominant_structural_full_rank_share,is_2d3d_counts,dominant_is_2d3d,dominant_is_2d3d_share,cholesky_candidate_counts,dominant_cholesky_candidate,dominant_cholesky_candidate_share,size_band_counts,dominant_size_band,dominant_size_band_share,smallest_nrows_matrices,largest_nrows_matrices,smallest_ncols_matrices,largest_ncols_matrices,smallest_nnz_matrices,largest_nnz_matrices,smallest_nentries_matrices,largest_nentries_matrices
ACUSIM,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,14822,14822,14822,14822,14822,14822,715804,715804,715804,715804,715804,715804,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,real:1,real,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,yes:1,yes,1.0,computational fluid dynamics problem:1,computational fluid dynamics problem,1.0,true:1,true,1.0,yes:1,yes,1.0,yes:1,yes,1.0,10k_to_100k:1,10k_to_100k,1.0,ACUSIM/Pres_Poisson=14822,ACUSIM/Pres_Poisson=14822,ACUSIM/Pres_Poisson=14822,ACUSIM/Pres_Poisson=14822,ACUSIM/Pres_Poisson=715804,ACUSIM/Pres_Poisson=715804,ACUSIM/Pres_Poisson=715804,ACUSIM/Pres_Poisson=715804
AG-Monien,32,mixed_some_attributes,0.03125,1,2,3.670352,3.69838,3.69838,0,0,224,9400,1048576,224,9400,1048576,840,42303,4194298,840,42303,4194298,1.0,1,1.0,1.0,1,1.0,square:32,square,1.0,symmetric:32,symmetric,1.0,binary:32,binary,1.0,exact_numerical_or_hermitian:32,exact_numerical_or_hermitian,1.0,no:32,no,1.0,2D/3D problem:26; undirected graph sequence:6,2D/3D problem,0.8125,false:7; missing:6; true:19,true,0.59375,no:6; yes:26,yes,0.8125,no:32,no,1.0,100k_to_1m:1; 10k_to_100k:13; 1k_to_10k:12; ge_1m:1; lt_1k:5,10k_to_100k,0.40625,AG-Monien/grid1_dual=224,AG-Monien/debr=1048576,AG-Monien/grid1_dual=224,AG-Monien/debr=1048576,AG-Monien/grid1_dual=840,AG-Monien/debr=4194298,AG-Monien/grid1_dual=840,AG-Monien/debr=4194298
AMD,2,small_group_lt5,0.0,0,1,1.023774,1.022936,1.022936,0,0,150102,867790,1585478,150102,867790,1585478,726674,4193750,7660826,726674,4193750,7660826,1.0,1,1.0,1.0,1,1.0,square:2,square,1.0,symmetric:2,symmetric,1.0,real:2,real,1.0,exact_numerical_or_hermitian:2,exact_numerical_or_hermitian,1.0,yes:2,yes,1.0,circuit simulation problem:2,circuit simulation problem,1.0,true:2,true,1.0,no:2,no,1.0,yes:2,yes,1.0,100k_to_1m:1; ge_1m:1,100k_to_1m,0.5,AMD/G2_circuit=150102,AMD/G3_circuit=1585478,AMD/G2_circuit=150102,AMD/G3_circuit=1585478,AMD/G2_circuit=726674,AMD/G3_circuit=7660826,AMD/G2_circuit=726674,AMD/G3_circuit=7660826
ANSYS,3,small_group_lt5,0.0,0,1,0.313056,0.810106,0.810106,0,0,64719,295734,343236,887058,1785345,1823928,652140,2401323,4211599,652140,2401323,4211599,0.0,0,0.0,0.0,0,0.0,rectangular:3,rectangular,1.0,rectangular:3,rectangular,1.0,real:3,real,1.0,rectangular:3,rectangular,1.0,no:3,no,1.0,least squares problem:3,least squares problem,1.0,true:3,true,1.0,no:3,no,1.0,no:3,no,1.0,100k_to_1m:1; ge_1m:2,ge_1m,0.666667,ANSYS/Delor64K=64719,ANSYS/Delor338K=343236,ANSYS/Delor338K=887058,ANSYS/Delor295K=1823928,ANSYS/Delor64K=652140,ANSYS/Delor338K=4211599,ANSYS/Delor64K=652140,ANSYS/Delor338K=4211599
ATandT,4,small_group_lt5,0.0,0,1,1.261918,1.418452,1.417968,4,153765,36057,78403.5,659033,36057,78403.5,659033,222596,770908.5,5834044,227628,782656,5959282,0.0742956282869174,0.17871755249741855,0.3317760910564062,0.04331285111284008,0.06579475948288332,0.1058542372000797,square:4,square,1.0,unsymmetric:4,unsymmetric,1.0,real:4,real,1.0,partially_pattern_symmetric:4,partially_pattern_symmetric,1.0,no:4,no,1.0,frequency-domain circuit simulation problem:4,frequency-domain circuit simulation problem,1.0,true:4,true,1.0,no:4,no,1.0,no:4,no,1.0,100k_to_1m:2; 10k_to_100k:2,100k_to_1m,0.5,ATandT/onetone1=36057; ATandT/onetone2=36057,ATandT/pre2=659033,ATandT/onetone1=36057; ATandT/onetone2=36057,ATandT/pre2=659033,ATandT/onetone2=222596,ATandT/pre2=5834044,ATandT/onetone2=227628,ATandT/pre2=5959282
Alemdar,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,6245,6245,6245,6245,6245,6245,42581,42581,42581,42581,42581,42581,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,integer:1,integer,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,no:1,no,1.0,2D/3D problem:1,2D/3D problem,1.0,true:1,true,1.0,yes:1,yes,1.0,yes:1,yes,1.0,1k_to_10k:1,1k_to_10k,1.0,Alemdar/Alemdar=6245,Alemdar/Alemdar=6245,Alemdar/Alemdar=6245,Alemdar/Alemdar=6245,Alemdar/Alemdar=42581,Alemdar/Alemdar=42581,Alemdar/Alemdar=42581,Alemdar/Alemdar=42581
Andrews,1,small_group_lt5,0.0,0,1,0.0,0.0,0.0,0,0,60000,60000,60000,60000,60000,60000,760154,760154,760154,760154,760154,760154,1.0,1,1.0,1.0,1,1.0,square:1,square,1.0,symmetric:1,symmetric,1.0,integer:1,integer,1.0,exact_numerical_or_hermitian:1,exact_numerical_or_hermitian,1.0,yes:1,yes,1.0,computer graphics/vision problem:1,computer graphics/vision problem,1.0,true:1,true,1.0,yes:1,yes,1.0,yes:1,yes,1.0,10k_to_100k:1,10k_to_100k,1.0,Andrews/Andrews=60000,Andrews/Andrews=60000,Andrews/Andrews=60000,Andrews/Andrews=60000,Andrews/Andrews=760154,Andrews/Andrews=760154,Andrews/Andrews=760154,Andrews/Andrews=760154
Andrianov,16,homogeneous,0.0,0,1,2.026634,2.041811,2.041811,0,0,5026,26520,534388,5026,26520,534388,94026,1566310,10352819,94026,1566310,10352819,1.0,1,1.0,1.0,1,1.0,square:16,square,1.0,symmetric:16,symmetric,1.0,binary:16,binary,1.0,exact_numerical_or_hermitian:16,exact_numerical_or_hermitian,1.0,no:16,no,1.0,optimization problem:16,optimization problem,1.0,true:16,true,1.0,no:16,no,1.0,yes:16,yes,1.0,100k_to_1m:2; 10k_to_100k:11; 1k_to_10k:3,10k_to_100k,0.6875,Andrianov/fxm3_6=5026,Andrianov/lp1=534388,Andrianov/fxm3_6=5026,Andrianov/lp1=534388,Andrianov/fxm3_6=94026,Andrianov/mip1=10352819,Andrianov/fxm3_6=94026,Andrianov/mip1=10352819
Arenas,4,small_group_lt5,0.083333,2,2,1.731906,1.077862,1.077862,0,0,198,793,10680,198,793,10680,4065,8193,48632,4065,8193,48632,1.0,1,1.0,1.0,1,1.0,square:4,square,1.0,symmetric:4,symmetric,1.0,binary:1; integer:3,integer,0.75,exact_numerical_or_hermitian:4,exact_numerical_or_hermitian,1.0,no:4,no,1.0,undirected graph:1; undirected multigraph:3,undirected multigraph,0.75,missing:4,missing,1.0,no:4,no,1.0,no:4,no,1.0,10k_to_100k:1; 1k_to_10k:1; lt_1k:2,lt_1k,0.5,Arenas/jazz=198,Arenas/PGPgiantcompo=10680,Arenas/jazz=198,Arenas/PGPgiantcompo=10680,Arenas/celegans_metabolic=4065,Arenas/PGPgiantcompo=48632,Arenas/celegans_metabolic=4065,Arenas/PGPgiantcompo=48632
Averous,4,small_group_lt5,0.0,0,1,1.673635,1.776081,1.776081,0,0,1794,19981,84617,1794,19981,84617,7764,135040,463625,7764,135040,463625,0.5008375209380235,0.6689746179523419,0.7293915511896314,0.0,0,0.03155606214116852,square:4,square,1.0,unsymmetric:4,unsymmetric,1.0,real:4,real,1.0,partially_pattern_symmetric:4,partially_pattern_symmetric,1.0,no:4,no,1.0,thermal problem:4,thermal problem,1.0,true:4,true,1.0,yes:4,yes,1.0,no:4,no,1.0,10k_to_100k:3; 1k_to_10k:1,10k_to_100k,0.75,Averous/epb0=1794,Averous/epb3=84617,Averous/epb0=1794,Averous/epb3=84617,Averous/epb0=7764,Averous/epb3=463625,Averous/epb0=7764,Averous/epb3=463625
